nTrial,trialType,X1,Y1,T1,X2,Y2,T2,X3,Y3,T3,X4,Y4
422,2,473,451,1,1180,405,1.395036e+02,813,84,4.208962e+02,857,775
423,8,852,757,1,906,176,1.625907e+02,1254,330,3.446029e+02,591,430
424,5,800,134,1,843,766,2.045737e+02,NaN,NaN,3.411210e+02,NaN,NaN
425,4,1100,438,1,602,390,-1.793704e+00,777,130,4.009167e+02,831,730
426,8,952,657,1,806,76,1.871110e+02,1254,430,3.757961e+02,491,430
427,6,808,170,1,804,615,8.286594e+00,495,368,4.128712e+02,1092,307
428,5,800,34,1,843,666,7.194177e+01,NaN,NaN,4.177923e+02,NaN,NaN
429,5,800,34,1,943,766,1.104552e+02,NaN,NaN,2.935968e+02,NaN,NaN
430,6,908,170,1,804,715,9.347600e+01,595,368,3.052996e+02,1192,307
431,5,800,134,1,943,666,1.313616e+02,NaN,NaN,2.897002e+02,NaN,NaN
432,2,473,451,1,1080,305,-1.108678e+01,813,84,3.376658e+02,857,675
433,7,881,715,1,794,62,6.160279e+01,NaN,NaN,3.454601e+02,NaN,NaN
434,5,800,134,1,843,666,1.382796e+02,NaN,NaN,3.599111e+02,NaN,NaN
435,1,629,312,1,1252,434,1.142520e+02,NaN,NaN,4.022442e+02,NaN,NaN
436,6,808,70,1,804,715,9.429050e+01,595,468,2.829938e+02,1192,407
437,4,1100,438,1,502,390,1.347148e+02,777,130,4.019134e+02,931,730
438,1,529,412,1,1252,434,4.334648e+01,NaN,NaN,3.653756e+02,NaN,NaN
439,4,1100,338,1,602,390,1.029907e+02,877,130,3.789931e+02,931,630
440,6,808,170,1,904,615,2.213069e+02,595,468,2.771260e+02,1092,407
441,8,852,657,1,906,76,1.117927e+02,1254,430,3.618372e+02,591,430
442,3,1175,378,1,535,315,9.844991e+01,NaN,NaN,3.368592e+02,NaN,NaN
443,5,900,34,1,843,766,7.147212e+01,NaN,NaN,4.081881e+02,NaN,NaN
444,5,900,34,1,943,666,7.885981e+01,NaN,NaN,3.381538e+02,NaN,NaN
445,2,473,351,1,1080,405,8.177273e+01,813,-16,3.121557e+02,857,775
446,8,852,757,1,806,76,9.932563e+01,1254,330,3.483170e+02,591,330
447,3,1175,478,1,535,415,1.498185e+02,NaN,NaN,3.964971e+02,NaN,NaN
448,6,908,70,1,904,715,1.702834e+02,495,368,2.769885e+02,1092,307
449,4,1100,338,1,502,390,4.885901e+01,877,30,3.326526e+02,931,730
450,7,781,615,1,894,62,1.640696e+02,NaN,NaN,3.898320e+02,NaN,NaN
451,6,908,170,1,804,715,1.609220e+02,595,368,3.207515e+02,1092,407
452,7,881,715,1,794,62,1.134772e+02,NaN,NaN,2.977628e+02,NaN,NaN
453,5,900,134,1,843,766,1.027230e+02,NaN,NaN,3.973927e+02,NaN,NaN
454,8,852,657,1,906,176,1.144219e+02,1254,330,3.958482e+02,591,430
455,4,1100,438,1,502,390,1.482565e+02,777,30,3.689434e+02,931,730
456,1,629,312,1,1152,334,1.623374e+02,NaN,NaN,3.864831e+02,NaN,NaN
457,2,473,451,1,1180,405,4.918188e+01,813,84,3.437735e+02,957,675
458,4,1100,338,1,502,390,1.289196e+02,877,130,2.788100e+02,931,730
459,8,852,657,1,906,76,6.701381e+01,1254,330,4.169841e+02,491,430
460,4,1200,438,1,502,290,7.408117e+01,877,130,4.075408e+02,931,630
461,3,1175,478,1,635,415,2.141608e+01,NaN,NaN,2.826107e+02,NaN,NaN
462,4,1200,338,1,602,390,1.702957e+02,777,130,3.786276e+02,931,730
463,4,1100,338,1,602,290,1.670644e+02,777,130,2.853834e+02,931,730
464,5,800,34,1,943,666,7.591453e+01,NaN,NaN,3.087155e+02,NaN,NaN
465,4,1200,438,1,602,390,6.401307e+01,877,130,3.390364e+02,931,730
466,2,473,351,1,1080,405,4.388811e+01,813,84,3.982491e+02,957,775
467,3,1175,378,1,535,315,2.277754e+02,NaN,NaN,3.730729e+02,NaN,NaN
468,1,529,412,1,1252,334,7.772035e+01,NaN,NaN,3.256852e+02,NaN,NaN
469,5,900,134,1,943,666,5.753164e+01,NaN,NaN,2.890451e+02,NaN,NaN
470,3,1175,378,1,535,315,2.438514e+02,NaN,NaN,3.465759e+02,NaN,NaN
471,3,1075,378,1,535,415,-7.924894e+00,NaN,NaN,3.542827e+02,NaN,NaN
472,3,1075,378,1,635,415,9.949833e+01,NaN,NaN,3.274153e+02,NaN,NaN
473,3,1175,378,1,535,315,8.737720e+01,NaN,NaN,3.148860e+02,NaN,NaN
474,8,952,657,1,906,76,9.246025e+01,1154,330,3.845800e+02,491,330
475,4,1100,338,1,502,390,-3.649153e+01,877,130,3.476123e+02,831,630
476,6,908,170,1,804,715,1.927261e+02,495,468,3.621623e+02,1192,407
477,1,629,412,1,1252,434,1.018503e+02,NaN,NaN,3.105817e+02,NaN,NaN
478,7,781,615,1,894,162,1.485501e+02,NaN,NaN,3.092337e+02,NaN,NaN
479,8,952,657,1,906,76,1.347663e+02,1154,330,4.067541e+02,491,330
480,1,529,312,1,1252,334,1.453202e+02,NaN,NaN,4.011490e+02,NaN,NaN
481,8,852,757,1,806,76,8.337111e+01,1154,330,3.784756e+02,591,330
482,3,1175,478,1,535,415,6.079080e+01,NaN,NaN,3.086334e+02,NaN,NaN
483,7,881,715,1,894,162,1.430580e+02,NaN,NaN,2.912634e+02,NaN,NaN
484,2,573,351,1,1080,305,1.383404e+02,813,-16,3.288325e+02,957,775
485,5,800,134,1,943,666,7.218751e+01,NaN,NaN,2.940742e+02,NaN,NaN
486,1,629,412,1,1252,334,1.757696e+01,NaN,NaN,3.756857e+02,NaN,NaN
